Feature,Importance,Input_Weight_Importance
OAZ1,5.1206856,5.1206856
ACSM1,5.120218,5.120218
MAPRE1,5.1198177,5.1198177
GFUS,5.1197557,5.1197557
PSMA7,5.1196823,5.1196823
GLO1,5.119608,5.119608
MT-ND3,5.1193953,5.1193953
MMP9,5.118538,5.118538
GNB1,5.1178846,5.1178846
SF3B4,5.117542,5.117542
THBS1,5.117508,5.117508
HSPB1,5.1174083,5.1174083
EIF4EBP1,5.11719,5.11719
YIPF3,5.117174,5.117174
CRAT,5.1168413,5.1168413
HPX,5.1167617,5.1167617
SLC29A1,5.116722,5.116722
UGDH,5.1166544,5.1166544
HLA-DQB1,5.1165037,5.1165037
H2BC5,5.116413,5.116413
RPLP0,5.116378,5.116378
HNRNPA2B1,5.1161366,5.1161366
CLSTN2,5.115872,5.115872
ADAMTS15,5.1158347,5.1158347
MT1E,5.11582,5.11582
SIGMAR1,5.1155295,5.1155295
DDOST,5.1154423,5.1154423
RRAS,5.114544,5.114544
EIF2S2,5.113965,5.113965
UCN3,5.1139307,5.1139307
INSIG1,5.1137495,5.1137495
H1-10,5.113625,5.113625
MTPN,5.1135745,5.1135745
CST2,5.1135654,5.1135654
FASN,5.113537,5.113537
BTG2,5.1134496,5.1134496
SLC7A2,5.113037,5.113037
GFRA1,5.1126676,5.1126676
CXCL14,5.112661,5.112661
CEL,5.1125355,5.1125355
SSR4,5.111968,5.111968
EEF1A2,5.111921,5.111921
CTSZ,5.111675,5.111675
CLNS1A,5.111406,5.111406
APMAP,5.1111526,5.1111526
NDUFA6,5.110342,5.110342
LYPLA1,5.109379,5.109379
IMPDH2,5.1090946,5.1090946
SNRPB,5.108713,5.108713
GPNMB,5.1078095,5.1078095
FAM210B,5.1077065,5.1077065
SPTBN2,5.107495,5.107495
TMC4,5.106701,5.106701
BAG3,5.1062245,5.1062245
ARCN1,5.1057253,5.1057253
HES1,5.1057105,5.1057105
ST14,5.1056046,5.1056046
KRT23,5.1055536,5.1055536
ACSL1,5.1055336,5.1055336
FOLR1,5.105166,5.105166
RPL37,5.1048155,5.1048155
SERPINA6,5.1047935,5.1047935
NDUFS5,5.1046815,5.1046815
CD46,5.1044674,5.1044674
SYPL1,5.10437,5.10437
UBE2M,5.104351,5.104351
ILF2,5.1040792,5.1040792
SCGB1D2,5.1037626,5.1037626
MDK,5.103426,5.103426
TPM4,5.103426,5.103426
PODXL2,5.1032505,5.1032505
ATP5IF1,5.102705,5.102705
MSMO1,5.102657,5.102657
PDCD5,5.1024036,5.1024036
C1QA,5.102166,5.102166
TCIM,5.1021614,5.1021614
CKS2,5.1019735,5.1019735
IGFBP2,5.100788,5.100788
CNBP,5.100676,5.100676
CHMP2A,5.100664,5.100664
ABRACL,5.1004896,5.1004896
ATP1B3,5.099906,5.099906
PPP1R3C,5.0983753,5.0983753
BCAP31,5.097796,5.097796
TOP2B,5.0976324,5.0976324
EPCAM,5.097393,5.097393
SLC39A6,5.0971966,5.0971966
LDLRAD3,5.097031,5.097031
SLC35B2,5.0969315,5.0969315
KRT6B,5.096883,5.096883
CX3CL1,5.0966215,5.0966215
PDAP1,5.0965242,5.0965242
COPS9,5.0963583,5.0963583
SEC14L2,5.0955706,5.0955706
AKR1A1,5.0953617,5.0953617
RPLP2,5.0952053,5.0952053
RPS3,5.094842,5.094842
RPS15,5.094779,5.094779
CREB3L4,5.0942364,5.0942364
CENPB,5.0940566,5.0940566
CCDC74A,5.093356,5.093356
AZGP1,5.0931344,5.0931344
NET1,5.093074,5.093074
CITED4,5.0923743,5.0923743
GNAS,5.092366,5.092366
LAGE3,5.0921936,5.0921936
SLC39A7,5.091901,5.091901
TNC,5.0914335,5.0914335
HDLBP,5.091319,5.091319
GOLM1,5.090891,5.090891
CP,5.089318,5.089318
SLC3A2,5.0883045,5.0883045
GLUL,5.0869465,5.0869465
MRPL45,5.086777,5.086777
FTH1,5.0864553,5.0864553
RPN1,5.08634,5.08634
SSR3,5.08617,5.08617
ACADVL,5.0855756,5.0855756
NDUFA1,5.085228,5.085228
PLIN1,5.0851097,5.0851097
MRPL24,5.0850058,5.0850058
TCEAL4,5.084545,5.084545
RAB2A,5.0843544,5.0843544
POLR2K,5.0843515,5.0843515
WWP1,5.0839033,5.0839033
MT-ND2,5.083585,5.083585
SLC27A2,5.0827065,5.0827065
JUNB,5.082039,5.082039
TMEM109,5.081604,5.081604
ID2,5.0811367,5.0811367
CSE1L,5.081088,5.081088
WBP11,5.080804,5.080804
OAT,5.0807977,5.0807977
NDUFA4L2,5.0803337,5.0803337
ECH1,5.079708,5.079708
INHBB,5.0794673,5.0794673
CGA,5.0792046,5.0792046
